Date,9988.HK,BABA
2019-11-26,187.27272033691406,192.117431640625
2019-11-27,192.86294555664062,198.15626525878906
2019-11-28,203.64410400390625,
2019-11-29,198.0538787841797,197.3471221923828
2019-12-02,195.158935546875,193.70606994628906
2019-12-03,192.26400756835938,192.3147735595703
2019-12-04,188.67027282714844,191.170166015625
2019-12-05,192.06434631347656,197.3471221923828
2019-12-06,197.1554412841797,199.21205139160156
2019-12-09,196.25701904296875,196.10385131835938
2019-12-10,195.05911254882812,197.79115295410156
2019-12-11,197.25527954101562,201.9255828857422
2019-12-12,199.85073852539062,201.78744506835938
2019-12-13,201.64759826660156,202.19200134277344
2019-12-16,200.6493377685547,204.22467041015625
2019-12-17,203.4444580078125,205.4186248779297
2019-12-18,202.24655151367188,207.2144775390625
2019-12-19,204.44271850585938,207.34275817871094
2019-12-20,206.6388702392578,209.4346466064453
2019-12-23,208.0364227294922,211.9804229736328
2019-12-24,210.03294372558594,211.41796875
2019-12-26,,213.50985717773438
2019-12-27,212.4287567138672,212.61192321777344
2019-12-30,210.23260498046875,210.0858917236328
2019-12-31,206.83851623535156,209.28663635253906
2020-01-02,209.63363647460938,216.85488891601562
2020-01-03,211.63015747070312,214.1216278076172
2020-01-06,210.63189697265625,213.7664031982422
2020-01-07,212.22911071777344,214.7432861328125
2020-01-08,210.4322509765625,215.10836791992188
2020-01-09,215.223876953125,218.83822631835938
2020-01-10,217.61968994140625,220.8610382080078
2020-01-13,222.41131591796875,227.42282104492188
2020-01-14,223.2099151611328,223.4857635498047
2020-01-15,220.414794921875,222.07472229003906
2020-01-16,219.01724243164062,220.96958923339844
2020-01-17,220.01548767089844,224.4132843017578
2020-01-20,219.8158416748047,
2020-01-21,215.42352294921875,219.31185913085938
2020-01-22,218.01898193359375,219.42039489746094
2020-01-23,213.0277099609375,216.223388671875
2020-01-24,214.22561645507812,210.9147491455078
2020-01-27,,202.74456787109375
2020-01-28,,207.44143676757812
2020-01-29,207.03817749023438,209.20770263671875
2020-01-30,201.4479522705078,205.81332397460938
2020-01-31,200.05038452148438,203.84971618652344
2020-02-03,204.64236450195312,210.27337646484375
2020-02-04,212.8280487060547,219.92364501953125
2020-02-05,215.223876953125,217.29891967773438
2020-02-06,217.02072143554688,217.9698944091797
2020-02-07,215.0242156982422,213.65786743164062
2020-02-10,212.22911071777344,212.907958984375
2020-02-11,211.82980346679688,214.328857421875
2020-02-12,214.6249237060547,221.3346710205078
2020-02-13,216.82107543945312,217.43707275390625
2020-02-14,214.6249237060547,216.7167510986328
2020-02-17,217.02072143554688,
2020-02-18,213.6266632080078,217.59495544433594
2020-02-19,213.6266632080078,219.19345092773438
2020-02-20,215.223876953125,215.1478271484375
2020-02-21,212.22911071777344,209.77012634277344
2020-02-24,204.84201049804688,203.42543029785156
2020-02-25,206.2395782470703,202.88272094726562
2020-02-26,202.64585876464844,205.97120666503906
2020-02-27,204.84201049804688,202.31040954589844
2020-02-28,199.65109252929688,205.2410125732422
2020-03-02,204.24307250976562,208.18148803710938
2020-03-03,202.8455047607422,204.65884399414062
2020-03-04,201.8472442626953,209.14849853515625
2020-03-05,206.83851623535156,208.65512084960938
2020-03-06,203.4444580078125,201.9255828857422
2020-03-09,193.1624298095703,195.03817749023438
2020-03-10,198.9523162841797,203.65237426757812
2020-03-11,196.6563262939453,196.27159118652344
2020-03-12,188.4706268310547,182.644775390625
2020-03-13,191.36557006835938,191.4267120361328
2020-03-16,178.98719787597656,176.47767639160156
2020-03-17,182.88038635253906,182.35861206054688
2020-03-18,172.6981964111328,177.61241149902344
2020-03-19,173.69644165039062,178.48074340820312
2020-03-20,182.6807403564453,178.89517211914062
2020-03-23,169.70343017578125,174.00096130371094
2020-03-24,174.19557189941406,183.28614807128906
2020-03-25,179.38650512695312,186.05886840820312
2020-03-26,180.5843963623047,192.72921752929688
2020-03-27,183.57916259765625,186.08847045898438
2020-03-30,179.98545837402344,188.73292541503906
2020-03-31,183.08004760742188,191.9003448486328
2020-04-01,183.6790008544922,185.07212829589844
2020-04-02,185.67550659179688,186.3943634033203
2020-04-03,183.3795166015625,184.62811279296875
2020-04-06,188.27098083496094,193.84420776367188
2020-04-07,191.16590881347656,195.3736572265625
2020-04-08,189.7683563232422,193.3804473876953
2020-04-09,191.36557006835938,193.76527404785156
2020-04-13,,196.7945556640625
2020-04-14,196.6563262939453,202.063720703125
2020-04-15,197.55474853515625,205.40875244140625
2020-04-16,202.44619750976562,209.83920288085938
