Date,BHP.AX,CSL.AX,NAB.AX,TCL.AX,TLS.AX
2022-07-01,35.46909713745117,264.1905517578125,25.253849029541016,13.606513023376465,3.6730880737304688
2022-07-04,35.33625793457031,269.65631103515625,25.464984893798828,13.512675285339355,3.720914840698242
2022-07-05,35.42481994628906,273.71881103515625,25.382366180419922,13.371918678283691,3.720914840698242
2022-07-06,33.4410285949707,280.77423095703125,25.841360092163086,13.353150367736816,3.7687413692474365
2022-07-07,34.48605728149414,281.6279296875,25.841360092163086,13.287464141845703,3.720914840698242
2022-07-08,34.73403549194336,281.9714050292969,25.804641723632812,13.409453392028809,3.692218780517578
2022-07-11,33.6535758972168,282.5993957519531,25.492525100708008,13.306232452392578,3.720914840698242
2022-07-12,33.17533874511719,287.2114562988281,25.822999954223633,13.343768119812012,3.692218780517578
2022-07-13,32.697105407714844,288.31048583984375,26.116758346557617,13.475139617919922,3.730480194091797
2022-07-14,33.12220764160156,290.65576171875,25.97905921936035,13.437605857849121,3.759176254272461
2022-07-15,31.970895767211914,293.6486511230469,26.116758346557617,13.437605857849121,3.7687413692474365
2022-07-18,32.74138641357422,291.10711669921875,26.62165069580078,13.428221702575684,3.778306722640991
2022-07-19,32.42256546020508,285.2194519042969,27.0072078704834,13.465757369995117,3.759176254272461
2022-07-20,32.86537551879883,285.7787780761719,27.218341827392578,13.437605857849121,3.778306722640991
2022-07-21,32.58197784423828,289.71368408203125,27.227523803710938,13.249929428100586,3.8356990814208984
2022-07-22,32.54655456542969,287.9768371582031,27.429479598999023,13.174859046936035,3.787872076034546
2022-07-25,33.07792282104492,285.5530700683594,27.42030143737793,13.390686988830566,3.7496109008789062
2022-07-26,33.892696380615234,281.38262939453125,27.28260040283203,13.240545272827148,3.7687413692474365
2022-07-27,33.22848129272461,286.3675231933594,27.65897560119629,13.493908882141113,3.7496109008789062
2022-07-28,33.936973571777344,285.945556640625,27.842573165893555,13.475139617919922,3.730480194091797
2022-07-29,34.25579833984375,284.4147644042969,28.09043312072754,13.615898132324219,3.720914840698242
2022-08-01,34.62775802612305,289.3898620605469,28.072071075439453,13.803572654724121,3.7974374294281006
2022-08-02,34.167240142822266,291.2935791015625,28.42090606689453,13.803572654724121,3.7974374294281006
2022-08-03,34.19380569458008,291.1954650878906,28.25567054748535,13.756654739379883,3.778306722640991
2022-08-04,33.80413055419922,289.07586669921875,28.365827560424805,13.812957763671875,3.8261334896087646
2022-08-05,34.370933532714844,291.1954650878906,28.37500762939453,13.756654739379883,3.864394426345825
2022-08-08,34.64547348022461,290.1062316894531,28.191410064697266,13.653432846069336,3.8261334896087646
2022-08-09,34.379783630371094,291.4113464355469,27.36522102355957,13.70035171508789,3.8548295497894287
2022-08-10,33.91926574707031,286.8778076171875,27.741596221923828,13.66281795501709,3.8356990814208984
2022-08-11,34.67204284667969,289.5763244628906,28.026174545288086,13.644048690795898,3.787872076034546
2022-08-12,34.388641357421875,287.3684387207031,28.25567054748535,13.503292083740234,3.8261334896087646
2022-08-15,34.468345642089844,287.7511291503906,28.2832088470459,13.606513023376465,3.8548295497894287
2022-08-16,35.876487731933594,290.85198974609375,28.494348526000977,13.71911907196045,3.9217867851257324
2022-08-17,36.17759704589844,287.02496337890625,28.75138282775879,13.756654739379883,3.9122214317321777
2022-08-18,36.44328308105469,293.5995788574219,28.843183517456055,13.287464141845703,3.9217867851257324
2022-08-19,36.79752731323242,289.1543884277344,28.38418960571289,13.268697738647461,3.9409172534942627
2022-08-22,36.62040710449219,290.096435546875,28.03535270690918,13.259312629699707,3.969613552093506
2022-08-23,36.71782302856445,284.3755187988281,27.484560012817383,13.109171867370605,3.9504828453063965
2022-08-24,37.11635208129883,283.2274169921875,27.548818588256836,13.06225299835205,3.8641860485076904
2022-08-25,37.36432647705078,284.3951721191406,27.815032958984375,13.06225299835205,3.8641860485076904
2022-08-26,37.91341781616211,289.9688415527344,28.099611282348633,13.024718284606934,3.8641860485076904
2022-08-29,37.36432647705078,288.7323913574219,27.392759323120117,13.024718284606934,3.825831651687622
2022-08-30,36.97465515136719,288.3988037109375,27.530458450317383,13.109171867370605,3.8162431716918945
2022-08-31,35.95619201660156,288.0455322265625,28.08125114440918,13.099787712097168,3.806654691696167
2022-09-01,35.44761657714844,288.29083251953125,27.815032958984375,12.996566772460938,3.787477493286133
2022-09-02,34.71995544433594,290.44964599609375,28.03535270690918,12.949647903442383,3.7778890132904053
2022-09-05,35.82562255859375,289.2819519042969,27.851755142211914,12.95903205871582,3.7299461364746094
2022-09-06,35.2208137512207,290.2279357910156,27.75995635986328,12.865194320678711,3.7299461364746094
2022-09-07,34.275794982910156,289.6455383300781,26.906227111816406,12.761971473693848,3.758711814880371
2022-09-08,34.89005661010742,295.7659606933594,27.19080352783203,12.996566772460938,3.7778890132904053
2022-09-09,35.9957275390625,294.80841064453125,27.401941299438477,12.987183570861816,3.758711814880371
2022-09-12,37.2431526184082,292.4984436035156,27.530458450317383,13.024718284606934,3.7778890132904053
2022-09-13,37.139198303222656,291.3138732910156,27.796674728393555,13.043485641479492,3.8162431716918945
2022-09-14,36.477684020996094,285.9140319824219,26.942947387695312,12.574295043945312,3.720357656478882
2022-09-15,36.609989166259766,283.919921875,27.374401092529297,12.546143531799316,3.7011804580688477
2022-09-16,35.94847869873047,282.1627502441406,27.502918243408203,12.236477851867676,3.6532375812530518
2022-09-19,35.73112487792969,279.349365234375,27.26424217224121,12.349084854125977,3.6340606212615967
2022-09-20,37.02579879760742,279.398681640625,27.741596221923828,12.452305793762207,3.643649101257324
